tcId,nTransfers,duration,cost,walkDistance,startTime,endTime,agencies,modes,routes,stops,details
1,0,2h4m,8040,0,08:20:00,10:24:00,Vy Buss,COACH,VY1,RB:NSR:Quay:11991,Notodden skysstasjon(NSR:Quay:36202) ~ COACH VY1 8:20 10:24
1,0,1h50m,7200,0,09:25:00,11:15:00,N-W,COACH,NW180,RB:NSR:Quay:11987,Notodden skysstasjon(NSR:Quay:99952) ~ COACH NW180 9:25 11:15
1,0,2h4m,8040,0,09:20:00,11:24:00,Vy Buss,COACH,VY1,RB:NSR:Quay:11991,Notodden skysstasjon(NSR:Quay:36202) ~ COACH VY1 9:20 11:24
2,1,3h2m,12670,194,11:54:00,14:56:00,Vy,RAIL,F4|L1,RB:NSR:Quay:697|RB:NSR:Quay:696|RB:NSR:Quay:945,Gol stasjon(NSR:Quay:530) ~ RAIL F4 11:54 14:42 ~ Asker stasjon(NSR:Quay:697) ~ Walk 2m44s ~ Asker stasjon(NSR:Quay:696) ~ RAIL L1 14:48 14:56
3,1,30m33s,3823,232,15:00:00,15:30:33,RUT,BUS,250|37,RB:NSR:Quay:7373|RB:NSR:Quay:7349|RB:NSR:Quay:104029|RB:NSR:Quay:11960,IKEA Slependen(NSR:Quay:7944) ~ BUS 250 15:00 15:16 ~ Nationaltheatret(NSR:Quay:7373) ~ Walk 1m39s ~ Nationaltheatret(NSR:Quay:7349) ~ BUS 37 15:20 15:29 ~ Oslo bussterminal(NSR:Quay:104029) ~ Walk 1m33s
3,1,30m33s,3823,232,15:05:00,15:35:33,RUT,BUS,250|37,RB:NSR:Quay:7373|RB:NSR:Quay:7349|RB:NSR:Quay:104029|RB:NSR:Quay:11960,IKEA Slependen(NSR:Quay:7944) ~ BUS 250 15:05 15:21 ~ Nationaltheatret(NSR:Quay:7373) ~ Walk 1m39s ~ Nationaltheatret(NSR:Quay:7349) ~ BUS 37 15:25 15:34 ~ Oslo bussterminal(NSR:Quay:104029) ~ Walk 1m33s
3,1,30m33s,3823,232,15:10:00,15:40:33,RUT,BUS,250|37,RB:NSR:Quay:7373|RB:NSR:Quay:7349|RB:NSR:Quay:104029|RB:NSR:Quay:11960,IKEA Slependen(NSR:Quay:7944) ~ BUS 250 15:10 15:26 ~ Nationaltheatret(NSR:Quay:7373) ~ Walk 1m39s ~ Nationaltheatret(NSR:Quay:7349) ~ BUS 37 15:30 15:39 ~ Oslo bussterminal(NSR:Quay:104029) ~ Walk 1m33s
3,1,30m33s,3823,232,15:15:00,15:45:33,RUT,BUS,250|37,RB:NSR:Quay:7373|RB:NSR:Quay:7349|RB:NSR:Quay:104029|RB:NSR:Quay:11960,IKEA Slependen(NSR:Quay:7944) ~ BUS 250 15:15 15:31 ~ Nationaltheatret(NSR:Quay:7373) ~ Walk 1m39s ~ Nationaltheatret(NSR:Quay:7349) ~ BUS 37 15:35 15:44 ~ Oslo bussterminal(NSR:Quay:104029) ~ Walk 1m33s
3,1,30m33s,3823,232,15:20:00,15:50:33,RUT,BUS,250|37,RB:NSR:Quay:7373|RB:NSR:Quay:7349|RB:NSR:Quay:104029|RB:NSR:Quay:11960,IKEA Slependen(NSR:Quay:7944) ~ BUS 250 15:20 15:36 ~ Nationaltheatret(NSR:Quay:7373) ~ Walk 1m39s ~ Nationaltheatret(NSR:Quay:7349) ~ BUS 37 15:40 15:49 ~ Oslo bussterminal(NSR:Quay:104029) ~ Walk 1m33s
3,1,30m33s,3823,232,15:25:00,15:55:33,RUT,BUS,250|37,RB:NSR:Quay:7373|RB:NSR:Quay:7349|RB:NSR:Quay:104029|RB:NSR:Quay:11960,IKEA Slependen(NSR:Quay:7944) ~ BUS 250 15:25 15:41 ~ Nationaltheatret(NSR:Quay:7373) ~ Walk 1m39s ~ Nationaltheatret(NSR:Quay:7349) ~ BUS 37 15:45 15:54 ~ Oslo bussterminal(NSR:Quay:104029) ~ Walk 1m33s
